#;Kategorie;App name;Kurzbeschreibung;Nutzbarkeit (DE);Handlungsempfehlung für deutsche Unternehmen;EU-Hosting;DSGVO;EU AI Act;Homepage;Privacy/Legal Link;DSGVO/GDPR Link;Storage/Hosting Link;DPA/AVV Link
7;"


Meeting-Assistenz";Fyxer;E-Mail- und Meeting-Assistent mit KI-Unterstützung.;🟡 – Nützlich, personenbezogene Inhalte vorsichtig;"AVV/DPA einholen; keine vertraulichen Inhalte; interne Richtlinien für Datenzugriff";🟡 – EU-Server laut Trust Center möglich;🟡 – DSGVO-konform bei Enterprise & Pseudonymisierung;🟡 – EU AI Act: Automatisierungspflichten prüfen;https://fyxer.ai;https://www.fyxer.ai/privacy;https://www.fyxer.ai/privacy;https://www.fyxer.ai/trust;https://www.fyxer.ai/contact-sales
8;"


Customer-Concierge / CX AI";Lorikeet;Conversational AI für Kundenservice & Sales.;🟡 – Funktionsfähig, Daten sorgfältig behandeln;"AVV abschließen; Rollen- & Zugriffstrennung; Consent-Flows implementieren";🟡 – EU-Hosting Enterprise möglich;🟡 – DSGVO-konform bei Enterprise;🟡 – EU AI Act: bei automatisierten Entscheidungen Dokumentation nötig;https://www.lorikeet.ai;https://www.lorikeet.ai/privacy;https://www.lorikeet.ai/privacy;https://www.lorikeet.ai/security;https://www.lorikeet.ai/enterprise
9;"


Recruiting / Interviews";Micro1;KI-Interviewplattform & Talent-Screening.;🟡 – Nützlich nur mit DPA & Einwilligungen;"DPIA durchführen; Kandidateneinwilligung einholen; Menschen-in-der-Schleife; Enterprise-EU-Hosting nutzen";"🟡 – EU-Hosting möglich; Enterprise-Option";🔴 – Bewerberdaten sehr sensibel → DSGVO-Risiken hoch;🟡 – EU AI Act: automatisierte Bewertung hochriskant;https://www.micro1.ai;https://www.micro1.ai/privacy;https://www.micro1.ai/privacy;https://www.micro1.ai/security;https://www.micro1.ai/dpa
10;"


Knowledge / Workspace";Notion;Wissensmanagement mit KI-gestützten Datenbanken & Docs.;🟡 – Nützlich, sensible Inhalte vorsichtig;"Enterprise-Plan + EU-Region aktivieren; AVV unterschreiben; HR-Fälle nicht in Public Pages speichern";🟢 – EU-Datenregion verfügbar;🟡 – DSGVO-konform bei Enterprise;🟡 – EU AI Act: Transparenzpflicht bei automatisierter Klassifikation;https://notion.so;https://www.notion.so/privacy;https://www.notion.so/privacy;https://www.notion.so/enterprise;https://www.notion.so/dpa
11;"


Knowledge / Research AI";Delve;Tool zur Wissensindexierung und Recherche in internen Quellen.;🟡 – Nur anonymisierte Daten nutzen;"POC nur mit anonymisierten Datensätzen; DPA prüfen; DPIA durchführen, bevor HR/Staff-Daten indexiert werden";🟡 – EU-Hosting möglich, Enterprise-Kontrolle empfohlen;🟡 – DSGVO: DPIA empfohlen bei sensiblen Daten;🟡 – EU AI Act: bei Entscheidungsunterstützung Dokumentation nötig;https://www.delve.ai;https://www.delve.ai/privacy;https://www.delve.ai/privacy;https://www.delve.ai/security;https://www.delve.ai/dpa
12;"


LLM-Recherche / Answering";Perplexity;Web-gestützte AI-Such- und Antwortmaschine.;🟡 – Für DE nutzbar, aber Vorsicht bei vertraulichen Infos;"Keine vertraulichen Daten hochladen; Enterprise-Vertrag + opt-out von Trainingsdaten; Quellen prüfen";🟡 – Enterprise-DPAs vorhanden, EU-Hosting teils möglich;🟡 – DSGVO: keine vertraulichen Inhalte;🟡 – EU AI Act: Transparenzpflicht bei generierten Antworten;https://www.perplexity.ai;https://www.perplexity.ai/privacy;https://www.perplexity.ai/privacy;https://www.perplexity.ai/security;https://www.perplexity.ai/enterprise
13;"


Sales / Outreach";Instantly;Tool für Cold-Outreach & E-Mail-Automatisierung.;🔴 – Eingeschränkt nutzbar;"B2C Cold-Outreach nicht nutzen; B2B nur mit legitimen Interessen und Opt-out; nur zur Verifizierung oder Datenanreicherung EU-Host verwenden";"🟡 – EU-DPA vorhanden; EU-Hosting nur Enterprise";"🔴 – Cold-Outreach in DE riskant; DSGVO/UWG beachten";🔴 – EU AI Act kaum relevant;https://instantly.ai;https://instantly.ai/privacy;https://instantly.ai/privacy;https://instantly.ai/security;https://instantly.ai/dpa
14;"


Messaging / Automation";Customer.io;Plattform zur Automatisierung von E‑Mail, Push und SMS mit EU/US‑Regionwahl;🟢 – Sehr gut nutzbar für DE;"EU‑Region aktivieren; AVV/DPA einholen; Consent/Opt-out prüfen";🟢 – EU‑Datenzentren auswählbar;🟢 – DSGVO-konform, AVV vorhanden;🟡 – Transparenzpflichten bei KI‑Funktion;https://customer.io;https://customer.io/privacy;https://customer.io/legal/privacy-policy/;https://customer.io/gdpr;https://customer.io/legal/dpa
15;"


Generative Media / Video & Image";KlingAI;KI-Tool für Video- und Bilderstellung aus Text oder Bildern;🔴 – Nicht empfehlenswert für sensible Daten;"Nur für Marketing/Public Use; Hosting/AVV prüfen; alternative EU-residente Lösung bevorzugen";🔴 – Hosting / Datenresidenz kaum transparent;🟡 – DSGVO Status unklar, besonders bei Personenbildern;🟡 – EU AI Act: erhöhte Regulierungs-/Provenance-Pflicht;https://www.klingai.com;https://www.klingai.com/privacy;https://www.klingai.com/privacy;https://www.klingai.com/security;https://www.klingai.com/terms
16;"


Voice / Conversational AI";Retell AI;Plattform für KI-Sprachagenten (Anrufe, Chat, automatisierte Voicebots);🟡 – Nutzbar, hoher Compliance-Aufwand;"Einwilligung der Sprecher einholen; Enterprise-Plan/EU-Hosting vertraglich sichern; DPIA durchführen";🟡 – Hostingregionen nicht transparent, Enterprise-Optionen bestehen;🟡 – DSGVO konform, aber sensibel wegen Stimmen/Telefonie;🔴 – Hohe regulatorische Anforderungen (Hochrisiko);https://www.retellai.com;https://www.retellai.com/privacy;https://www.retellai.com/privacy;https://www.retellai.com/compliance;https://www.retellai.com/enterprise
17;"


Asset-Marktplatz / Design-Tool";Canva;Web-Design für Präsentationen, Marketingmaterialien, Templates.;🟢 – Voll nutzbar in DE;"Enterprise-Plan + EU-Region; AVV unterschreiben; vertrauliche Dokumente nur EU";🟢 – EU-Datenregion verfügbar;"🟢 – DSGVO-konform; Enterprise AVV möglich";🟡 – Transparenzpflichten bei KI-Funktionen;https://www.canva.com;https://www.canva.com/privacy;https://www.canva.com/privacy;https://www.canva.com/gdpr;https://www.canva.com/enterprise
18;"


Coding-/Design-Tool";Lovable;"Customer Engagement & Chat-Automation; Cloud auf Supabase";🟡 – Nur mit DPA & Consent nutzen;"DPA unterzeichnen; Supabase EU-Region nutzen; Consent-Flow für User aktivieren";"🟡 – Supabase EU-Region möglich; DPA vorhanden";🟡 – DSGVO: Consent & Sub-Processor Transparenz nötig;🟡 – EU AI Act: Profiling = erhöhte Pflichten;https://lovable.dev;https://lovable.dev/privacy;https://lovable.dev/privacy;https://supabase.com/security;https://lovable.dev/data-processing-agreement
19;"


Interview Analytics";Metaview;"Aufnahme und Analyse von Interviews; Kandidaten-Insights.";🟡 – Nützlich nur mit DPA & Einwilligungen;"DPIA durchführen; Kandidateneinwilligung einholen; Enterprise-EU-Hosting verwenden; Rollen-/Zugriffsrechte einhalten";"🟢/🟡 – AWS (UK) Hosting; Enterprise-Kontrollen";🔴/🟡 – Kandidatendaten sehr sensibel → DSGVO-Pflichten hoch;🟡 – EU AI Act: Bewertung/Scoring hochriskant;https://www.metaview.ai;https://www.metaview.ai/privacy;https://www.metaview.ai/privacy;https://www.metaview.ai/enterprise;https://www.metaview.ai/security
20;"


Autonomous Agent / Productivity";Adept;Plattform für autonome Agenten zur Ausführung komplexer Aufgaben (Text + Web + Tools).;🟡 Nutzbar, Produktiveinsatz nur mit Enterprise-Setup;"DPA & EU-Residency vertraglich sichern; DPIA & Human-in-loop einrichten; keine vertraulichen Daten in Free/Cloud.";🟡 Kein öffentliches EU-Hosting dokumentiert;"🟡 DSGVO-Risiko erhöht bei autonomen Agenten; AVV & Löschkonzept erforderlich";🟡 Autonome Agenten → Transparenzpflichten;https://www.adept.ai;https://www.adept.ai/privacy;https://www.adept.ai/privacy;https://www.adept.ai/security;https://www.adept.ai/terms
21;"


Knowledge / Research AI";Glean;Enterprise-Such- und Knowledge-Management-Tool mit KI-Unterstützung für Dokumente.;🟢 Gut nutzbar, bei EU-Hosting vertraulich;"Enterprise-Plan mit EU-Region & DPA; vertrauliche Dokumente nur über EU-Region hosten; Löschfristen prüfen.";"🟡 EU-Region auf Anfrage; nicht Standard";🟢 GDPR-konform mit AVV & Security Controls;🟡 Generative Antworten → Dokumentationspflicht;https://www.glean.com;https://www.glean.com/privacy;https://www.glean.com/privacy;https://www.glean.com/security;https://www.glean.com/gdpr
22;Image Editing / AI-Content;Photoroom;KI-gestützte Bildbearbeitung & Hintergrundentfernung.;🟢 Gut nutzbar für nicht-sensible Bilder;"Enterprise/Pro Plan mit EU-Region; keine sensiblen Bilder ohne Einwilligung; AVV prüfen.";🟡 EU-Region möglich, nicht Standard;🟢 DSGVO-konform bei EU-Hosting & Einwilligung;🟡 Generative KI → Transparenz bei Modelltraining;https://www.photoroom.com;https://www.photoroom.com/privacy;https://www.photoroom.com/privacy;https://www.photoroom.com/enterprise;https://www.photoroom.com/security
23;Data Analysis / AI Agents;Solve Intelligence;KI-Plattform für Datenauswertung & autonome Entscheidungsagenten.;🟡 Nutzbar für DE, produktiv nur mit Enterprise-Setup;"EU-Region & DPA vertraglich sichern; keine personenbezogenen Daten ohne Einwilligung; Logging & Audit einrichten.";🟡 Kein öffentliches EU-Hosting;🟡 DSGVO-Relevanz bei personenbezogenen Daten;🟡 Agenten → Dokumentation & Transparenzpflicht;https://www.solveintelligence.ai;https://www.solveintelligence.ai/privacy;https://www.solveintelligence.ai/privacy;https://www.solveintelligence.ai/security;https://www.solveintelligence.ai/dpa
24;Presentation / Productivity;Gamma (Gamma Tech);Plattform für KI-generierte Präsentationen und Dokumente.;🟢 Gut nutzbar für DE, wenn Enterprise & EU-Region;"Enterprise/DPA & EU-Region prüfen; keine sensiblen Inhalte über Free-Accounts; Löschfristen beachten.";🟡 EU-Hosting auf Anfrage;🟡 DSGVO-konform nur bei Enterprise-Setup;🟡 Generative Präsentationen → Transparenzpflicht;https://www.gamma.app;https://www.gamma.app/privacy;https://www.gamma.app/privacy;https://www.gamma.app/security;https://www.gamma.app/enterprise
25;Contacts / CRM;Clay;Kontakt-/Beziehungsmanagement mit AI (Aggregierte Daten);🟡 – Vorsicht bei personenbezogenen Daten;"Source Legal prüfen; Data-Minimization & Opt-Out implementieren; DPA unterzeichnen, Löschkontrollen aktivieren";"🟡 – Privacy & SOC2; EU-DPF Compliance erwähnt";🟡 – DSGVO: Aggregated Contact Data → lawful basis & source verification;🟡 – EU AI Act: Profiling/Scoring → erhöhte Pflichten;https://clay.earth;https://clay.earth/privacy;https://clay.earth/privacy;https://clay.earth/security;https://clay.earth/dpa
26;Meeting‑/Sales‑AI;Cluely;Echtzeit‑Meeting‑Assistent: nutzt Audio & Bildschirm, erstellt Zusammenfassungen, Vorschläge & Follow‑Up‑Mails.;🟡 – Technisch nützlich, aber für DE mit hohem Datenschutz‑/Rechtsaufwand.;"Nur mit expliziter Einwilligung aller Beteiligten einsetzen; sensible Inhalte vermeiden; Hosting‑Region klären.";🟡 – Datenverschlüsselung angegeben, aber keine klare Angabe zur EU‑Residenz. (Cluely);🟡 – DSGVO‑Hinweise vorhanden (z. B. Verschlüsselung/Workspace‑Isolation) (Cluely);🔴 – Hohe Risiken: Echtzeit‑Monitoring, Audio/Screenshots, personenbezogene Daten → klare regulatorische Anforderungen.;https://www.cluely.ai;https://www.cluely.ai/privacy;https://www.cluely.ai/privacy;https://www.cluely.ai/security;https://www.cluely.ai/enterprise
27;LegalTech / Hybride KI‑Kanzlei;Crosby;Hybride Law‑Firm: kombiniert Anwälte + KI zur Vertragsprüfung (MSAs, DPAs, NDAs) in Minuten statt Tagen. ;🟡 – Nur bei Unternehmen mit sehr gutem Compliance‑Setup nutzbar.;"Einsatz nur mit hochsensiblen Vertrags‑/Rechtsdaten nach DPIA & AVV; EU‑Hosting und Datenresidenz vorab vertraglich sichern.";🟡 – Keine öffentlich gut belegte Angabe zur vollen EU‑Hosting‑Region oder Datenresidenz.;🟡 – Rechtstechnischer Einsatz, DSGVO‑Bezugsrahmen relevant, aber keine vollständige Hosting‑Transparenz.;🔴 – Extrem hohes Risiko: automatisierte Rechtsentscheidungen, Vertrags‑/Vertrags‑prüfung → hohe Anforderungen.;https://www.crosby.law;https://www.crosby.law/privacy;https://www.crosby.law/privacy;https://www.crosby.law/security;https://www.crosby.law/enterprise
28;Generative Images;Midjourney;KI-gestützte Generierung von Bildern und Illustrationen.;🟡 – Vorsicht bei vertraulichen oder personenbezogenen Inhalten;"Keine vertraulischen oder personenbezogenen Bilder hochladen; IP-/Lizenzrisiken prüfen; Enterprise-Optionen bevorzugen";"🔴/🟡 – Daten überwiegend US-gehostet; EU-Hosting eingeschränkt";🟡 – DSGVO: keine personenbezogenen Daten hochladen;🟡/🔴 – EU AI Act: Trainings- und Output-Provenance beachten;https://www.midjourney.com;https://www.midjourney.com/privacy;https://www.midjourney.com/privacy;https://www.midjourney.com/security;https://www.midjourney.com/terms
29;Accounting‑/Workflow‑AI;Combinely;"„AI‑Coworker"" für Buchhaltungs‑/Steuerkanzleien: assistiert bei Klientenanfragen, Dokumenten‑Review und Workflow‑Automatisierung. (Y Combinator)";🟡 – Nutzbar für DE‑Markt, wenn Datenschutz‑ und Hosting‑Fragen geklärt sind.;"EU‑Datenresidenz und AVV prüfen; klare Trennung zwischen sensiblen Mandantendaten & Tool‑Nutzung; Einsatz zunächst intern pilotieren.";🟡 – Hosting‑Region nicht klar dokumentiert in öffentlich zugänglichen Quellen.;🟡 – DSGVO‑Hinweise vorhanden, aber keine vollständige Erklärung zur Datenresidenz.;🟡 – Risiko moderat: Automatisierung von Workflows, ggf. Profiling ‑ regulatorische Anforderungen vorhanden.;https://www.combinely.ai;https://www.combinely.ai/privacy;https://www.combinely.ai/privacy;https://www.combinely.ai/security;https://www.combinely.ai/contact
30;KI‑Assistent / Browser‑Extension;Merlin;KI‑Chrome‑Extension + Web‑App: unterstützt bei Dokumenten, Recherche, Social Media, Übersetzungen mit großen LLMs (GPT‑4, Claude etc.). (Merlin AI);🟢 – Gut nutzbar für DE bei korrektem Setup, insbesondere Variante mit EU‑Hosting.;"Bei Einsatz im Unternehmensbereich: EU‑Hosting/Datenspeicherung klären; Premium‑Version mit Enterprise‑Vertrag bevorzugen; keine sensiblen Kundendaten in Free‑Version.";🟡 – Für „merlin – KI für Verwaltungen (Deutschland) klar EU‑Hosting;" für die allgemeine Browser‑Extension weniger klar. (hallomerlin.de)""";"🟢 – Deutsche Variante nennt „100 % DSGVO‑konform"" (für Verwaltungslösung) (hallomerlin.de)";https://www.merlin.foyer.work;https://www.merlin.foyer.work/privacy;https://www.merlin.foyer.work/privacy;https://www.merlin.foyer.work/security;https://www.merlin.foyer.work/enterprise
31;Audio/Video Editing;Descript;Transkription, Audio/Video-Editing, Overdub-Stimmenfunktion.;🟡 – Innovativ, aber rechtlich sensibel;"Nur mit Einwilligung der Sprecher; Enterprise/EU-Region verwenden; keine realen Stimmen imitieren";🟡 – Enterprise-Optionen mit EU-Hosting verfügbar;🟡 – DSGVO: Einwilligung für Sprache/Transkripte nötig;🔴/🟡 – EU AI Act: Voice-Cloning als Hochrisiko-KI;https://www.descript.com;https://www.descript.com/privacy;https://www.descript.com/privacy;https://www.descript.com/security;https://www.descript.com/enterprise
32;Schreib‑ & Stil‑Assistenz;Grammarly;KI‑gestütztes Tool zur Verbesserung von Texten (Grammatik, Stil, Plagiaterkennung).;🟢 – Gut nutzbar in DE mit Enterprise‑Setup und kontraktlichen Absicherungen.;"Enterprise‑Vertrag mit DPA und EU‑SCC fordern; keine sensiblen Kundendaten über Free‑Versionen verwenden.";🟡 – Hauptsächlich US‑Server, EU‑Region nicht als Standard ausgewiesen.;🟢 – GDPR‑ konformes Framework inkl. DPA/SCCs vorhanden.;🟡 – Text‑Bearbeitung kann Profiling begründen → Transparenz erforderlich.;https://www.grammarly.com;https://www.grammarly.com/privacy;https://www.grammarly.com/privacy;https://www.grammarly.com/gdpr;https://www.grammarly.com/enterprise
33;Autonome Agenten‑AI;Manus;Agentenplattform, die Aufgaben autonom ausführt (z. B. Web‑Recherche, Workflow‑Automatisierung).;🟡 – Technisch interessant, rechtlich für DE‑Einsatz nur mit hoher Compliance;"Datenresidenz und On‑Premise‑Optionen vertraglich sichern; DPIA durchführen; sensiblen Datenzugriff einschränken.";🟡 – Keine eindeutige EU‑Residency als Standard dokumentiert.;🟡 – Datenschutz‑Hinweise vorhanden, aber Hosting/Datenfluss nicht klar ausgewiesen.;🔴 – Autonome Agenten mit Entscheidungs‑/Handlungsfunktion fallen in höhere Risikokategorie.;https://www.manus.ai;https://www.manus.ai/privacy;https://www.manus.ai/privacy;https://www.manus.ai/security;https://www.manus.ai/dpa
34;Enterprise AI‑/Dev‑Agenten;Cognition;Plattform zur Erstellung und Bereitstellung von AI‑Agenten für Unternehmen (z. B. Dev‑Workflow).;🟢 – Sehr gut geeignet für DE, wenn EU‑Region aktiviert und Verträge in Ordnung.;"DPA und EU‑Serverwahl vertraglich vereinbaren; Zugangskontrollen und Rollenrechte definieren; Produktions‑Code sorgfältig handhaben.";🟢 – Hosting wählbar mit EU (z. B. Frankfurt) angegeben als Default‑Option.;🟢 – GDPR‑konforme Privacy‑Policy inkl. Standard‑Mechanismen verfügbar.;🟡 – Agenten mit Workflow‑Ausführung verlangen Nachvollziehbarkeit & Dokumentation.;https://www.cognition.ai;https://www.cognition.ai/privacy;https://www.cognition.ai/privacy;https://www.cognition.ai/security;https://www.cognition.ai/enterprise
35;Short-Video Clipper;Opus Clip;Automatische Kurzvideoerstellung aus langen Aufnahmen.;🟡 – Nur mit Einwilligung von Beteiligten;"Consent für Personen in Clips einholen; Enterprise-Datenschutz aktivieren; interne Richtlinien für sensible Inhalte";🟡 – EU-Hosting für Enterprise erwähnt;"🟡 – DSGVO: Clips können personenbezogen sein; Consent nötig";🟡 – EU AI Act: Profiling bei automatisierter Nutzung beachten;https://www.opusclip.com;https://www.opusclip.com/privacy;https://www.opusclip.com/privacy;https://www.opusclip.com/security;https://www.opusclip.com/enterprise
36;Transkription / Untertitelung;Happyscribe;Cloud-Service für automatische Transkription und Untertitelung mit Enterprise-Optionen.;🟢 Sehr gut geeignet für DE-Nutzung bei korrekter Einwilligung;Enterprise-Plan mit EU-Region wählen, AVV abschließen, Einwilligung bei Aufnahmen sicherstellen.;🟢 EU-Server dokumentiert (EEA-Hosting verfügbar);🟢 voll GDPR-konform mit DPA und Löschkonzept;🟡 Transkription bedarf Transparenzpflicht bei Audioverarbeitung;https://www.happyscribe.co;https://www.happyscribe.co/privacy;https://www.happyscribe.co/privacy;https://www.happyscribe.co/security;https://www.happyscribe.co/gdpr
37;Sales-Automation / AI SDR Agents;11x;Automatisierte Sales-Agents für Lead-Generierung und Outreach.;🔴 Eingeschränkt brauchbar (B2B ja, B2C nein);Nur B2B verwenden, AVV abschließen, keine Cold-Emails an Privatpersonen (UWG).;🟡 EU-Region auf Anfrage, nicht Standard;🟡 rechtliche Risiken bei personenbezogenen Leads;🟡 Profiling unterliegt Dokumentationspflicht;https://11x.ai;https://11x.ai/privacy;https://11x.ai/privacy;https://11x.ai/security;https://11x.ai/dpa
38;Voice-Recorder & Transkription;Plaud (Plaud.ai);Hardware-gestützter Recorder mit Cloud-KI für Transkription und Zusammenfassungen.;🟢 Gut nutzbar bei Enterprise-Setup und Einwilligung;EU-Hosting aktivieren, Einwilligungen einholen, AVV vereinbaren und Löschfristen definieren.;🟢 EU-Hosting dokumentiert (GDPR konform);🟢 SOC2 + GDPR-Nachweise vorhanden;🟡 Voice-Daten erfordern besondere Transparenz;https://www.plaud.ai;https://www.plaud.ai/privacy;https://www.plaud.ai/privacy;https://www.plaud.ai/security;https://www.plaud.ai/gdpr
39;ITSM / Automation;Serval;KI-Plattform zur Automatisierung von IT-Workflows und Helpdesk-Prozessen.;🟢 Sehr geeignet für DE, wenn Enterprise-Setup genutzt wird;Enterprise-Vertrag mit AVV und EU-Tenant fordern, Audit-Logs und Rollenrechte definieren.;🟢 EU-Tenant und Trust-Center vorhanden;🟢 Privacy Policy + DPO nach GDPR;🟡 Automatisierte Agenten müssen transparent sein;https://www.serval.ai;https://www.serval.ai/privacy;https://www.serval.ai/privacy;https://www.serval.ai/trust;https://www.serval.ai/security
40;Customer Engagement / Chatbot;Ada;Automatisierte Kundenservice-Chatbots;🟢 – Voll nutzbar;"Enterprise-EU-Hosting; AVV/DPA einholen; Consent für Kundenkommunikation";🟢 – EU-Hosting verfügbar;🟢 – DSGVO-konform mit Enterprise;🟡 – EU AI Act: Dokumentation bei Entscheidungen;https://www.ada.support;https://www.ada.support/privacy;https://www.ada.support/privacy;https://www.ada.support/security;https://www.ada.support/enterprise
41;Meeting‑/Transkriptions‑AI;Otter AI;KI‑Meeting‑Assistent zur Echtzeit‑Transkription, Zusammenfassung und Analyse von Meetings.;🟡 – Nutzbar, aber mit hohem Compliance‑Aufwand (insb. bei DE‑Meetings mit personenbezogenen Daten).;"Nur mit ausdrücklicher Einwilligung aller Teilnehmer einsetzen; besonders bei sensiblen Meetings EU‑Data‑Residency vertraglich sichern; Free‑Versionen nur für unkritische Inhalte nutzen.";🟡 – Hauptsächlich USA‑Server, EU‑Region nicht klares Standardangebot.;🟡 – GDPR‑konforme Funktionen vorhanden, aber Drittland‑Hosting & Transfers riskant.;🟡 – Meeting‑AI mit Audio/Personen kann unter erhöhte Transparenz‑ und Dokumentationspflichten fallen.;https://www.otter.ai;https://www.otter.ai/privacy;https://www.otter.ai/privacy;https://www.otter.ai/security;https://www.otter.ai/enterprise
42;Ernährungs‑/Lifestyle‑KI‑App;Alma;KI‑gestützte Ernährungs‑App mit natürlicher Sprach‑ und Texteingabe für personalisiertes Tracking.;🟡 – Nutzbar für Lifestyle/Training, aber nicht ohne Datenschutz‑Vertrag bei sensiblen Daten.;"Für deutsche Unternehmens‑/Team‑Nutzung: EU‑Hosting & DPA prüfen; keine vertraulichen Gesundheitsdaten ohne Einwilligung; Einsatz als Lifestyle‑Tool geeignet.";"🟡 – EU‑Hosting nicht ausgewiesen; französische/regionales Sitzland vorhanden, aber Hostinginfos limitiert.";🟡 – Datenschutzangaben vorhanden, konkrete Hostingdetails & DPA weniger prominent.;🟡 – Generative / Personalisierte KI: erhöhte Anforderungen bei personenbezogenen Gesundheitsdaten.;https://www.alma.ai;https://www.alma.ai/privacy;https://www.alma.ai/privacy;https://www.alma.ai/security;https://www.alma.ai/contact
